C211,test_category_labeling_highlight_fordham_aaaa,121,3829,0,Other,"{""Other Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 9, ""selectedText"": ""AOL Privacy Policy Last updated: June 23, 2015"", ""value"": ""Introductory/Generic""}}",6/23/15,http://privacy.aol.com/privacy-policy/
13488,test_category_labeling_highlight_fordham_bbbb,116,3829,0,Policy Change,"{""Change Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""General notice in privacy policy""}}",6/23/15,http://privacy.aol.com/privacy-policy/
C212,test_category_labeling_highlight_fordham_aaaa,121,3829,1,Other,"{""Other Type"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 0, ""selectedText"": ""AOL is now part of the Verizon family of companies. Additional privacy practices are described in the Verizon Privacy Policy. In the event of a conflict between this Privacy Policy and the Verizon Privacy Policy, the AOL Privacy Policy will control when you are on an AOL site or using and AOL product or service."", ""value"": ""Practice not covered""}}",6/23/15,http://privacy.aol.com/privacy-policy/
C213,test_category_labeling_highlight_fordham_aaaa,121,3829,2,Other,"{""Other Type"": {""endIndexInSegment"": 470, ""startIndexInSegment"": 0, ""selectedText"": ""At AOL, it's our mission to provide users with rich, interactive online experiences. From Pulitzer-Prize winning journalism on the Huffington Post, to the latest technology news on TechCrunch, to up-to-the-minute traffic information on MapQuest, our websites, apps, and other services and software are designed to keep you informed, entertained and delighted. We also operate some of the industry's best-known advertising services, including Adap.tv and Advertising.com."", ""value"": ""Introductory/Generic""}}",6/23/15,http://privacy.aol.com/privacy-policy/
C214,test_category_labeling_highlight_fordham_dddd,118,3829,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",6/23/15,http://privacy.aol.com/privacy-policy/
C215,test_category_labeling_highlight_fordham_bbbb,116,3829,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 121, ""selectedText"": ""and receive"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",6/23/15,http://privacy.aol.com/privacy-policy/
13491,test_category_labeling_highlight_fordham_bbbb,116,3829,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 110, ""selectedText"": ""we collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",6/23/15,http://privacy.aol.com/privacy-policy/
13493,test_category_labeling_highlight_fordham_bbbb,116,3829,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 284, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 202, ""selectedText"": ""This"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 285, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising,"", ""value"": ""Advertising""}}",6/23/15,http://privacy.aol.com/privacy-policy/
C216,test_category_labeling_highlight_fordham_aaaa,121,3829,4,Other,"{""Other Type"": {""endIndexInSegment"": 1128, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy describes how we handle the information we collect and receive about users. There are three things you should keep in mind as you read it: First, the Privacy Policy applies to AOL services that link to or refer to this Privacy Policy. These services include websites, mobile apps, other online services and anything else that links to or refers to this policy. To keep things simple, we refer to all these services as our \""Services.\"" Second, the Privacy Policy applies no matter what computer or device you use to access our Services. Third, we may provide additional information about the privacy practices of some of our Services. Although this Privacy Policy applies to all AOL services that refer or link to it, you should read the additional information, too. Some of this information is linked from various places in the Privacy Policy, and some is available through the individual Services that you use. We've done our best to keep this Privacy Policy short and simple, but if you have any questions about it, we hope you'll let us know."", ""value"": ""Introductory/Generic""}}",6/23/15,http://privacy.aol.com/privacy-policy/
C217,test_category_labeling_highlight_fordham_aaaa,121,3829,5,Other,"{""Other Type"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 0, ""selectedText"": ""Information We Collect and Receive We collect and receive information about users in a few different ways:"", ""value"": ""Introductory/Generic""}}",6/23/15,http://privacy.aol.com/privacy-policy/
