189,0,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
527,0,82,The text does not fit into our label scheme.
1010,0,88,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
190,1,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
529,1,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
1011,1,88,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
1012,1,88,The text describes a specific data practice that is not covered by our label scheme.
191,2,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
528,2,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
1014,2,88,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
192,3,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
193,3,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party.
530,3,82,The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.
531,3,82,The site collects your generic personal information for service operations or security. Collection happens when you implicitly provide information in an unspecified way.
532,3,82,The site collects your generic personal information for an unspecified purpose. Collection happens by an unnamed service or third party.
1022,3,88,The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information on the website.
1024,3,88,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on the website.
1026,3,88,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party.
194,4,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
533,4,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
195,5,84,"The site collects your contact information for personalization or customization. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable."
196,5,84,"The site collects your demographic information for personalization or customization. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable."
197,5,84,"The site collects your location information for personalization or customization. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable."
198,5,84,"The site collects your generic personal information for personalization or customization. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable."
199,5,84,"The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable."
534,5,82,The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.
535,5,82,The site collects your financial information for an unspecified purpose. Collection happens in an unspecified way.
1029,5,88,"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable."
1035,5,88,"The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable."
200,6,84,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
201,6,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
552,6,82,The site collects your user profile for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.
553,6,82,The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.
554,6,82,The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.
1042,6,88,"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable."
1043,6,88,"The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable."
202,7,84,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
203,7,84,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
204,7,84,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
205,7,84,The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
555,7,82,The site collects your IP address or device IDs for a basic service or feature. Collection happens in an unspecified way.
556,7,82,The site collects your website activities for a basic service or feature. Collection happens in an unspecified way.
557,7,82,The site collects your cookies or tracking elements for a basic service or feature. Collection happens in an unspecified way.
558,7,82,The site collects your location information for a basic service or feature. Collection happens in an unspecified way.
1045,7,88,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.
1051,7,88,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.
1054,7,88,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.
206,8,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party.
