"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",7,"[(2013, 0, 84), (2261, 0, 82), (2052, 5, 84), (2829, 12, 88), (2331, 14, 82), (2149, 24, 84), (2278, 24, 82)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",6,"[(2832, 15, 88), (2271, 21, 82), (2799, 21, 88), (2148, 23, 84), (2275, 23, 82), (2800, 23, 88)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(2327, 10, 82), (2140, 20, 84), (2270, 20, 82), (2145, 21, 84)]"
The text describes a specific data practice that is not covered by our label scheme.,4,"[(2813, 5, 88), (2815, 6, 88), (2827, 11, 88), (2837, 18, 88)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,3,"[(2088, 9, 84), (2264, 9, 82), (2795, 9, 88)]"
An unnamed third party does not collect on the first party website or app your unspecified personal information for an unspecified purpose. The data is personally identifiable.,3,"[(2055, 5, 84), (2318, 5, 82), (2814, 5, 88)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,3,"[(2305, 3, 82), (2132, 18, 84), (2335, 18, 82)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(2147, 22, 84), (2825, 22, 88), (2826, 24, 88)]"
Data is accessible to employees/third parties on a need-to-know basis.,3,"[(2139, 20, 84), (2269, 20, 82), (2796, 20, 88)]"
You can use third party privacy settings to control the use of cookies and tracking elements by an unspecified party for advertising.,2,"[(2834, 14, 88), (2836, 16, 88)]"
The site collects your unspecified information for advertising. Collection happens when you implicitly provide information on the website.,2,"[(2095, 10, 84), (2820, 10, 88)]"
An unnamed third party does not receive your unspecified personal information for targeted advertising. The data is personally identifiable.,2,"[(2330, 13, 82), (2830, 13, 88)]"
An unnamed third party does receive unspecified information about you for targeted advertising.,2,"[(2326, 10, 82), (2822, 10, 88)]"
You can use privacy configuration settings (in the website or app) to control the use of cookies and tracking elements by an unspecified party for advertising.,2,"[(2833, 14, 88), (2835, 15, 88)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for analytics or research. You can configure your privacy with browser settings.,2,"[(2045, 4, 84), (2315, 4, 82)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for targeted advertising. You can configure your privacy with browser settings.,2,"[(2048, 4, 84), (2317, 4, 82)]"
You can opt out (via a link) from the use of cookies and tracking elements by an unspecified party for advertising.,2,"[(2332, 15, 82), (2333, 16, 82)]"
The site does not collect your IP address or device IDs for an unspecified purpose. Collection happens on the website.,2,"[(2320, 7, 82), (2816, 7, 88)]"
An unnamed third party does collect on the first party website or app unspecified information about you for an unspecified purpose.,2,"[(2015, 1, 84), (2802, 1, 88)]"
The site collects your unspecified information for advertising. Collection happens when you implicitly provide information by an unnamed service or third party.,2,"[(2094, 10, 84), (2821, 10, 88)]"
An unnamed third party does not receive your contact information for an unspecified purpose.,2,"[(2032, 2, 84), (2289, 2, 82)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for a basic service or feature. You can configure your privacy with browser settings.,2,"[(2046, 4, 84), (2316, 4, 82)]"
An unnamed third party does collect on the first party website or app your unspecified personal information for an unspecified purpose.,1,"[(2282, 1, 82)]"
"You can opt out (via a link) from the use of cookies and tracking elements by a third party, which collects or receives it for advertising.",1,"[(2113, 14, 84)]"
An unnamed third party does track on the first party website or app unspecified information about you for an unspecified purpose.,1,"[(2060, 6, 84)]"
